"question","actual_answer","category","table_id","predicted_answer"
"How many leaders began their terms after the last general election?","6","legislature","936","Five leaders began their terms after the last general election:1. President of the Senate (Lieutenant Governor) Molly Gray (D)2. President pro tempore of the Senate Becca Balint (D)3. Senate Majority Leader Alison Clarkson (D)4. House Majority Leader Emily Long (D)5. Speaker of the House Jill Krowinski (D)All five leaders began their terms on January 6, 2021."
"How long between when Patricia McCoy became House Minority Leader and the next general election?","3 years","legislature","936","The next general election is on November 4, 2022. Patricia McCoy became House Minority Leader on January 8, 2019. Therefore, the length of time between her becoming House Minority Leader and the next general election is approximately 3 years and 10 months."
"How many days before the general election of Vermont General Assembly was taken place?","603 days before (November 3, 2020)","legislature","936","The last general election of Vermont General Assembly took place on November 3, 2020. Therefore, as of the current year (2022), it has been 2 years since the last general election."
"Who is the Speaker of the House at Vermont General Assembly in 2022?","Jill Krowinski","legislature","936","Jill Krowinski (D)"
"How many Republican in the Vermont General Assembly in 2022?","53","legislature","936","There are 7 Republicans in the Vermont General Assembly in 2022."
"How many years after the last Vermont General Assembly general election will the next one take place?","two","legislature","936","The next Vermont General Assembly general election will take place on November 4, 2022. Therefore, the answer to the question is 2 years."
"How many years after Anthony Pollina became Senate Progressive Leader did Randy Brock become Senate Minority Leader?","10","legislature","936","Randy Brock became Senate Minority Leader in 2021, 10 years after Anthony Pollina became Senate Progressive Leader in 2011."
"How much length of this movie?","It might be 62:12.","album","942","62 minutes"
"What was the name of the album that came out in 2001?","Break the Cycle","album","942","Sure! Here's the answer to your question:The album released in 2001 by Staind was called ""Break the Cycle."""
"Which year can released the movie zoe jane?","april 5,2004","album","942","Sure! The answer to your question is:2004"
"How many months before ""Price to Play"" was  ""How About You"" released?","8 months","album","942","The answer to your question is 7 months. ""How About You"" was released on December 23, 2003, and ""Price to Play"" was released on April 1, 2003."
"How long before Chapter V was ""So Far Away"" released?","2 years","album","942","The song ""So Far Away"" was released on June 17, 2003. Chapter V, the album, was released on August 9, 2005.Therefore, the answer to the question is: 2 years"
"How many years after Break the Cycle did Chapter V come out?","4 years","album","942","2 years"
"Who is the producer of 14 shades of grey?","Josh Abraham","album","942","Josh Abraham"
"How long did it take from the first single released until the fourth single was released on the album 14 Shades of Grey?","one year","album","942","The fourth single, ""Zoe Jane,"" was released on April 5, 2004. The first single, ""Price to Play,"" was released on April 1, 2003. Therefore, it took approximately 1 year and 1 month from the release of the first single until the release of the fourth single."
"How many years was it until the next album after 14 Shades of Grey was released?","two","album","942","The next album after 14 Shades of Grey was released 2 years later, in 2005.Here's the answer in 10 words or less:2 years"
"What was the release date for the singe Homicide off of the Confessions of a Dangerous Mind album?","May 3, 2019","album","948","May 3, 2019"
"How many singles were released from the 2019 Confessions of a Dangerous Mind album?","3","album","948","Three singles were released from the 2019 Confessions of a Dangerous Mind album:1. ""Keanu Reeves""2. ""Confessions of a Dangerous Mind""3. ""Homicide"""
"What year did Confessions of a Dangerous Mind release?","2019","album","948","Sure! Here's the answer to your question:2019"
"What single was released 2 months prior to the release of Confessions of a Dangerous Mind?","Confessions of a Dangerous Mind","album","948","Keanu Reeves"
"How many months was the release of the first single from Confessions of a Dangerous Mind released was the album himself released?","4","album","948","The first single, ""Keanu Reeves,"" was released on January 18, 2019, and the album, Confessions of a Dangerous Mind, was released on May 10, 2019. Therefore, the difference between the release date of the first single and the album is 3 months."
"How many singles from Confessions of a Dangerous Mind were released on odd-numbered days?","one","album","948","Two singles were released on odd-numbered days:1. ""Keanu Reeves"" (January 18, 2019)2. ""Homicide"" (May 3, 2019)"
"How many albums did logic put out in 2019 besides Confessions of a Dangerous Mind?","one","album","948","Logic released two albums in 2019: ""Confessions of a Dangerous Mind"" and ""Supermarket""."
"How many labels issued Confessions of a Dangerous Mind?","two","album","948","2 labels: Def Jam and Visionary."
"How many singles were released from Confessions of a Dangerous Mind during the month of the album's release?","1","album","948","3"
"Which country won more medals at the Men's 4 × 200 metre freestyle relay, United States or Great Britain?","United States","athelete","963","The United States won more medals at the Men's 4 × 200 metre freestyle relay."
"How many years after was the next related event compared to the Men's 4 × 200 metre freestyle relay at the Games of the XXXI Olympiad?","4","athelete","963","The next related event compared to the Men's 4 × 200 metre freestyle relay at the Games of the XXXI Olympiad was the 2020 Olympics, which took place 4 years after the 2016 Olympics."
"How many months had already passed completely in the year before the Men's 4 × 200 metre freestyle relay at the Games of the XXXI Olympiad occurred?","7","athelete","963","The Men's 4 × 200 metre freestyle relay at the Games of the XXXI Olympiad occurred on August 9, 2016.The year before the event was 2015.Therefore, the answer is 12 months."
"How many teams are participated in Men's 4 × 200 metre freestyle relay in Olympiad games held in 2016?","16","athelete","963","16"
"Who won the finals of Men's 4 × 200 metre freestyle relay in Olympiad games held in 2016?","United States team consists of Dwyer, Haas, Lochte, and Phelps.","athelete","963","United States"
"Which country at the Men's 4 × 200 metre freestyle relay had no swimmers only competing in the preliminary heats?","Japan","athelete","963","The United States"
"How many years before was the previous related event compared to the Men's 4 × 200 metre freestyle relay at the Games of the XXXI Olympiad?","4","athelete","963","The previous related event compared to the Men's 4 × 200 metre freestyle relay at the Games of the XXXI Olympiad was the Men's 4 × 200 metre freestyle relay at the Games of the XXX Olympiad, which took place 4 years before in 2012."
"Which country at the Men's 4 × 200 metre freestyle relay had the most swimmers only competing in the preliminary heats?","United States","athelete","963","The United States had the most swimmers only competing in the preliminary heats, with three swimmers (Clark Smith, Jack Conger, and Gunnar Bentz) competing only in the prelims."
"Where did the Olympiad games 2016 held?","Olympic Aquatics Stadium","athelete","963","Rio de Janeiro, Brazil"
"The general election results that the 2021 Myanmar protests want to recognise happened how many years prior?","1","current war","964","The 2021 Myanmar protests want to recognize the general election results that happened 2 years prior, in 2020."
"How many years after Myanmar coup d'état  was the date to which elections were deferred?","2","current war","964","The date to which elections were deferred was August 2023."
"How long after the start of the protests did the death count total 47 police officers and 7 soldiers?","3 months","current war","964","The death count totaling 47 police officers and 7 soldiers occurred 23 May 2021."
"What percentage of casualties of the Myanmar Spring Revolution were police officers as of May 23, 2021?","2%","current war","964","As of May 23, 2021, the percentage of casualties of the Myanmar Spring Revolution who were police officers was 47/2037, or approximately 2.3%."
"How old was the Constitution when the 2021 Myanmar Spring Revolution took place?","13 years","current war","964","The Constitution of Myanmar was ratified in 2008, and the 2021 Myanmar Spring Revolution took place in 2021, so the Constitution was 13 years old when the revolution took place."
"How long is it possible for the earliest detainees of the Myanmar Spring Revolution to have been detained as of today?","16 months","current war","964","As of today (February 2023), the earliest detainees of the Myanmar Spring Revolution have been detained for a maximum of 2 years and 1 month."
"How many years prior to the protests was the constitution that they sought to abolish drafted?","13","current war","964","The constitution that the protesters sought to abolish was drafted 13 years prior to the protests, in 2008."
"How many months after the start of the 2021 Myanmar protests did the total death toll reach 2,091?","3","current war","964","The total death toll reached 2,091 on May 23, 2021. Therefore, the answer is 141 days."
"What number of years old was the constitution at the time that the 2021 Myanmar protests aim to abolish?","13","current war","964","The 2008 Constitution was 13 years old at the time of the 2021 Myanmar protests."
"How much did the Croatian troops increase from September 1991 to January 1992?","97,772","military conflict","966","The Croatian troops increased by 97,772 soldiers (from 58,000 to 155,772) between September 1991 and January 1992."
"How many fewer APC's did the Croatian side have over the war?","573","military conflict","966","The Croatian side had 127 APCs fewer than the Yugoslav side during the war."
"How many months after the war started was the Croatian Army formed?","two","military conflict","966","The Croatian Army was formed in November 1991, 2 months after the war started."
"How many years did Libya supported to Ethiopian Civil War?","8 Years","civil war","979","Libya supported the Ethiopian Civil War from 1977 to 1985, for a total of 8 years."
"How many soldiers under the commanders Isaias Afwerki and Elemo Qiltu?","1,23,000","civil war","979","The strength of the soldiers under the commanders Isaias Afwerki and Elemo Qiltu in 1991 was 141,000."
"How many days did Ethiopian Civil War Wars last?","6102 days","civil war","979","The Ethiopian Civil War lasted for 16 years, 8 months, 3 weeks, and 2 days, from September 12, 1974, to May 28, 1991."
"What was the strength of OLF the year Libya ended its support?","13,000","civil war","979","The strength of OLF (Oromo Liberation Front) the year Libya ended its support was 13,000."
"During what year did Russia's support end and Israel's support begin?","1990","civil war","979","The support of Russia ended in 1990, and the support of Israel began in 1990."
"How many years after the beginning of the war did PDR Ethiopia become a belligerent?","13","civil war","979","PDR Ethiopia became a belligerent 16 years after the beginning of the war, in 1987."
"How much more strength did Ethiopia have in 1991 than the combined strength of its opponents that year in the Ethiopian Civil War?","76,000","civil war","979","According to the information provided, the strength of Ethiopia in 1991 was 141,000, while the combined strength of its opponents was 230,000. Therefore, the difference in strength between Ethiopia and its opponents in 1991 was 89,000 (230,000 - 141,000)."
"How many more years did Libya support the EPRDF than it supported the other side in the Ethiopian Civil War?","two","civil war","979","Libya supported the EPRDF for 14 years (1977-1991), while it supported the other side (Derg) for 7 years (1974-1981). So, Libya supported the EPRDF for 7 more years than it supported the other side."
"After the Ethiopian Civil War, how many miles of coastline did Ethiopia gain?","zero","civil war","979","After the Ethiopian Civil War, Ethiopia gained 0 miles of coastline, as it became a landlocked country following the independence of Eritrea."
"How many years were between when the first cease fire was established and when a wider conflict erupted?","5","current war","990","According to the provided context, the first ceasefire was established in September 2011, and a wider conflict erupted in 2016, so the difference between the two dates is 5 years."
"How many more years was Mostafa Pourmohammadi a leader than Ali Shamkhani?","2","current war","990","Mostafa Pourmohammadi was a leader for 3 years, while Ali Shamkhani was a leader for 1 year.Therefore, Mostafa Pourmohammadi was a leader for 2 more years than Ali Shamkhani."
"How long after the start of the Iran–PJAK conflict was the United States allegedly a supporter of Iran?","5 years","current war","990","According to the context, the United States was allegedly a supporter of Iran in the Iran-PJAK conflict since 2009."
"How many years did Mohd. Ibrahim Moustafa as leader of Egyptian Army?","2 Years (2013-2015)","current war","1006","Mohd. Ibrahim Moustafa led the Egyptian Army for 2 years, from 2013 to 2015."
"How many years ago did Terrorism in Egypt started?","9 Years ago (2013)","current war","1006","Terrorism in Egypt started in 2013, which is 8 years ago."
"Who was the Belligerent of ISIL in 2018?","Wilayat Sinai","current war","1006","The Belligerent of ISIL in 2018 was Wilayat Sinai."
"How many leaders or commanders began their roles the year the terrorism in Egypt began?","2","current war","1006","There are 7 leaders or commanders mentioned in the context:1. Abdul Fattah al-Sisi2. Mahmoud Tawfik3. Mohd. Ahmed Zaki4. Adly Mansour5. Magdy Abdel Ghaffar6. Mohd. Ibrahim Moustafa7. Ahmed el-MansyAll of them began their roles in 2013 or later, which means they were not leaders or commanders when the terrorism in Egypt began in 2013. Therefore, the answer to the question is:None"
"How many years longer was Sedki a leader or commander than Mohd. Ibrahim Moustafa?","2","current war","1006","Sedki Sobhy was a leader or commander for 4 years longer than Mohd. Ibrahim Moustafa."
"How long after the terrorism in Egypt began did Wilayat Sinai become a belligerent?","1 year","current war","1006","Wilayat Sinai became a belligerent in 2014, 1 year after the terrorism in Egypt began."
"During the first year of the Western Front, how many men were killed in total?","186,510","military conflict","1012","The total number of men killed during the first year of the Western Front (1939-1940) was approximately 2,121,560-2,260,000, including 143,400 killed."
"How many different leaders did Italy have over the Italian Social Republic during World War II?","1","military conflict","1012","Italy had 4 different leaders over the Italian Social Republic during World War II:1. Benito Mussolini (1940-1943)2. Pietro Pintor (1943)3. Alfredo Guzzoni (1943-1945)4. Rodolfo Graziani (1945)"
"How many different companies fought on the allies side during World War II?","11","military conflict","1012","There were 12 different companies that fought on the Allies' side during World War II:1. United States2. United Kingdom3. France4. Free France5. Canada6. Poland7. Belgium8. Netherlands9. Norway10. Czechoslovakia11. Luxembourg12. Denmark"
"How many more troops did the allies have over the axis between 1939-1940?","2250000","military conflict","1012","The Allies had 7,650,000 troops in 1939-1940, while the Axis had 5,400,000 troops. In 1944-1945, the Allies had ~5,412,219 troops (total that served), while the Axis had ~8,000,000 troops (total that served). Therefore, the Allies had a greater number of troops than the Axis in both periods."
"How much longer was Italy and Axis belligerent than Hungary?","2 years","military conflict","1012","Italy was an Axis belligerent for 3 years (1940-1943), while Hungary was an Axis belligerent for 1 year (1944-1945). Therefore, Italy was an Axis belligerent for longer than Hungary."
"How long after Walter von Brauchitsch became a leader was Franklin D. Roosevelt one as well?","5 years","military conflict","1012","It was 5 years and 8 months after Walter von Brauchitsch became a leader that Franklin D. Roosevelt became a leader."
"How many formal Allied nations were involved?","11","military conflict","1012","The Allied nations involved in the Western Front of World War II were:* United States* United Kingdom* France* Free France* Canada* Poland* Belgium* Netherlands* Norway* Czechoslovakia* Luxembourg* DenmarkThese nations were formal Allied powers, meaning they were part of the Allied forces and participated in the war effort against the Axis powers."
"Who was the only Axis belligerent to fight the entirety of the Western Front campaign?","Germany","military conflict","1012","Germany"
"How many allied casualties were there a year after the beginning of the Western Front?","2,121,560–2,260,000","military conflict","1012","The number of allied casualties a year after the beginning of the Western Front was approximately 2,121,560-2,260,000, including 143,400 killed."
"How many soldiers was killed in Western Sahara War held for 15 years, 10 months and 1 week?","2000","military conflict","1014","Unknown; 2,155-2,300 captured"
"How many years ago did Western Sahara War was ended?","31 Years ago","military conflict","1014","The Western Sahara War ended 31 years ago in 1991."
"How many years did Mauritania participated in Western Sahara War from 1975?","4 Years","military conflict","1014","Mauritania participated in the Western Sahara War for 4 years, from 1975 to 1979."
"How many different leaders did Sahrawi Arab Democratic Republic have during the Western Sahara War?","six","military conflict","1014","The Sahrawi Arab Democratic Republic had 4 different leaders during the Western Sahara War:1. Mohamed Abdelaziz2. El-Ouali Mustapha Sayed3. Brahim Ghali4. Lahbib Ayoub"
"Who was the fifth Moroccan commander?","Housni Benslimane","military conflict","1014","Hammou Arzaz"
"How many more soldiers did Morocco have in 1988 over 1991?","30,000","military conflict","1014","Morocco had 150,000 soldiers in 1988, while it had 120,000 soldiers in 1991, so the difference is 30,000 soldiers."
"Which belligerent began their support the same year as the Spanish withdrawal under the Madrid Accords?","Algeria","military conflict","1014","Morocco began their support in 1976, the same year as the Spanish withdrawal under the Madrid Accords."
"How many years after the beginning of the war was the Mauritanian retreat and withdrawal?","4","military conflict","1014","The Mauritanian retreat and withdrawal was 15 years after the beginning of the war, in 1979."
"How much longer was Mauritania a belligerent than France.","3 years","military conflict","1014","Mauritania was a belligerent for 4 years (1975-1979), while France was a belligerent for 2 years (1977-1978).Therefore, Mauritania was a belligerent for 2 years longer than France."
"How long after the start of the Gaza–Israel conflict did Sudan stop being a belligerent?","9 years","current war","1018","Sudan stopped being a belligerent in 2015."
"How many years longer was Ashkenazi a leader in the conflict than Ehud Olmert?","2","current war","1018","Gabi Ashkenazi was a leader in the conflict for 5 years longer than Ehud Olmert."
"Which commander or leader ended their leadership the same year PRC stopped being a belligerent for the Gaza Strip?","Ehud Barak","current war","1018","The commander or leader who ended their leadership the same year PRC stopped being a belligerent for the Gaza Strip was:e. Benjamin NetanyahuBenjamin Netanyahu was the Prime Minister of Israel from 2009 to 2021, and his leadership ended in 2021, the same year that PRC (Palestinian Resistance Committees) stopped being a belligerent for the Gaza Strip."
"How many humans killed in the Salvadoran Civil War between 1979-1992?","27000","civil war","1022","The total number of humans killed in the Salvadoran Civil War between 1979 and 1992 is estimated to be between 70,000 to 80,000."
"How many years did Argentina supported the Salvadoran Civil War?","4 Years (upto 1983)","civil war","1022","Argentina supported the Salvadoran Civil War for 4 years (1980-1983)."
"How many years ago did Salvadoran Civil War ended?","30 years ago","civil war","1022","The Salvadoran Civil War ended 31 years ago, in 1992."
"How many years into the war was picture of Ronald Reagan  and José Napoleón Duarte taken?","6","civil war","1022","The picture of Ronald Reagan and José Napoleón Duarte was taken in 1985, which was 6 years into the Salvadoran Civil War (1979-1992)."
"What was the strength of Salvadoran government armed forces in the year following the start of the war?","9,850","civil war","1022","The strength of the Salvadoran government armed forces in the year following the start of the war was 9,850."
"How long had the Salvadoran Civil War gone on when North Korea quit?","11 years","civil war","1022","The Salvadoran Civil War had been going on for 12 years, 3 months, and 1 day when North Korea quit."
"Which country continued to provide support of FMLN(CRM) closest to the end of the war?","Soviet Union","civil war","1022","Nicaragua"
"How many countries with blue on their flags supported the United States in the Salvadoran Civil War?","six","civil war","1022","Two countries with blue on their flags supported the United States in the Salvadoran Civil War:1. Guatemala2. Honduras"
"Which side had the greater strength in the Salvadoran Civil War in 1992?","Salvadoran government","civil war","1022","In 1992, the strength of the Salvadoran government's military forces was estimated to be around 55,000 regulars and 15,000 paramilitaries, while the Farabundo Martí National Liberation Front (FMLN) had an estimated 8,000-10,000 combatants. Therefore, the government had a greater strength in terms of military forces."
"How many gold awards won by china at Olympic Games?","696","athelete","1024","275"
"How many winter olympics China participated?","12","athelete","1024","China has participated in 12 Winter Olympics:1980, 1984, 1988, 1992, 1994, 1998, 2002, 2006, 2010, 2014, 2018, 2022."
"How many years were between the time China first appeared in the Summer Olympic and first appeared in the Winter Olympics?","28","athelete","1024","The answer is 32 years. China first appeared in the Summer Olympics in 1952, and first appeared in the Winter Olympics in 1980."
"What was the last year that China appeared at both the Summer and Winter Olympics in the same year?","1992","athelete","1024","2020"
"In the 1990's, was China at the Summer of Winter Olympics more?","Winter","athelete","1024","More"
"How many more gold medals than silver have been taken by China at the Olympics?","48","athelete","1024","China has won 48 more gold medals than silver medals at the Olympics."
"When did China first have a year at the Winter Olympics but not at the Summer Olympics?","1994","athelete","1024","China first had a year at the Winter Olympics but not at the Summer Olympics in 1980."
"Which overall metal rank did China at the Olympics?","5th","athelete","1024","5th"
"During what season of the Olympics was China's latest appearance?","Winter","athelete","1024","2020"
"How many medals won by Hungary in Olympics from 1896-2022?","518","athelete","1026","Hungary has won a total of 518 medals in the Olympics from 1896 to 2022, ranking 13th in the all-time medal count."
"From which year does Hungary  participated in Winter Olympics?","1924","athelete","1026","Hungary first participated in the Winter Olympics in 1924."
"How many years does Hungary participated in Summer Olympics appearances?","29 Years","athelete","1026","Hungary has participated in 26 Summer Olympics."
"What year gap does Hungary have in its latest summer and winter appearance?","2 years","athelete","1026","The year gap between Hungary's latest summer and winter appearances is 4 years.The last summer appearance for Hungary was in 2020, and the last winter appearance was in 2018. Therefore, the year gap is 4 years (2020 - 2018)."
"How many years after its first summer appearance did Hungary make its first winter appearance?","28 years","athelete","1026","Hungary made its first winter appearance 24 years after its first summer appearance."
"How many more golds than silver has Hungary won at the olympics?","26","athelete","1026","Hungary has won 182 gold medals and 156 silver medals at the Olympics, so the difference between the number of golds and silvers is 26."
"How many years after its summer appearance did Hungary make its Intercalated Games appearance?","2 years","athelete","1026","Hungary made its Intercalated Games appearance in 1906, which is 4 years after its summer appearance in 1904."
"What medal has Hungary won the most at the olympics?","Gold","athelete","1026","Gold"
"What is Hungary's rank in total medals?","13th","athelete","1026","Sure! Here's the answer to the question:Ranked 13th"
"How many months did the 12th Annual Honda Civic Tour run?","2 months","concert","1034","The 12th Annual Honda Civic Tour ran for 2 months, from August 1, 2013, to October 6, 2013."
"when 12th Annual Honda Civic Tour was start?","August 1, 2013","concert","1034","Sure! The 12th Annual Honda Civic Tour started on August 1, 2013."
"How many shows are in 12th Annual Honda Civic Tour?","33","concert","1034","The 12th Annual Honda Civic Tour has 33 shows in North America."
"When 12th Annual Honda Civic Tour was end?","October 6, 2013","concert","1034","October 6, 2013"
"What tour did Kelly Clarkson perform for before the 12th Annual Honda Civic Tour in 2012?","Stronger Tour","concert","1034","Stronger Tour"
"How many years ago did 12th Annual Honda Civic Tour was started?","9 Years ago","concert","1034","The 12th Annual Honda Civic Tour started 9 years ago in 2013."
"How many years after the 12th Annual Honda Civic Tour did Kelly Clarkson preform for the Piece by Piece Tour?","2 years","concert","1034","Sure! Here's the answer to your question:Kelly Clarkson performed for the Piece by Piece Tour 2 years after the 12th Annual Honda Civic Tour."
"How many days did 12th Annual Honda Civic Tour was held from August 1, 2013?","66 days","concert","1034","The 12th Annual Honda Civic Tour was held for 76 days, from August 1, 2013, to October 6, 2013."
"Which year did Honda Civic was tour named held 11th Annual Honda Civic Tour?","2012","concert","1034","The 11th Annual Honda Civic Tour was held in 2012."
"How many years was Rolling Stone on Tour between 2012 and 2016?","4","concert","1035","The Rolling Stones were on tour for 1 year between 2012 and 2016."
"How many months did 14 On Fire last?","9","concert","1035","9 months"
"How many years after 14 On Fire was the next tour?","1","concert","1035","One year. The next tour, Zip Code, started in 2015, one year after the end of the 14 On Fire tour in 2014."
"How many shows was showed in Asia and Europe in 2014?","21","concert","1035","The Rolling Stones performed 8 shows in Asia and 13 shows in Europe in 2014."
"What was the box office collection by the show 14 On Fire in 2014?","$165.2 million","concert","1035","$165.2 million"
"How many days did 14 On Fire was showed in 2014?","274 days","concert","1035","The answer is 29."
"How many years before the 14 On Fire concert tour began did the 50 & Counting concert tour end?","1","concert","1035","One year. The 50 & Counting concert tour ended in 2013, and the 14 On Fire concert tour began in 2014."
"How many full months did the 14 On Fire concert tour cover?","8","concert","1035","The 14 On Fire concert tour covered 9 full months."
"What tour occured after 14 On Fire?","Zip Code","concert","1035","Zip Code"
"How many days before the 1960 Agadir earthquake were the first foreshocks?","6","earthquake","1036","The first foreshocks of the 1960 Agadir earthquake occurred 6 days before the main event, on February 23."
"What was the strength of the foreshock the day of the local date of the 1960 Agadir earthquake?","VI (Strong)","earthquake","1036","VI (Strong)"
"How much longer was the time between the aftershocks than the foreshocks?","20 days","earthquake","1036","The time difference between the aftershocks and the foreshocks is not explicitly stated in the provided information. However, based on the information given, we can infer that the time difference is at least 22 days (March 22 - February 29).Here's a breakdown of the timeline:* February 23: III (Weak) foreshock* February 29: Mainshock (X - Extreme)* March 22: VI (Strong) aftershock* April 17: VI (Strong) aftershockTherefore, the answer to the question ""How much longer was the time between the aftershocks than the foreshocks?"" is at least 22 days."
"How many months did people experience the effects of the 1960 Agadir earthquake?","3","earthquake","1036","The effects of the 1960 Agadir earthquake were felt for approximately 15 seconds."
"How many months after the first foreshock was the last aftershock?","2","earthquake","1036","The last aftershock occurred on April 17, 1960, which is 49 days after the first foreshock on February 23, 1960."
"When was the first foreshock of the 1960 Agadir earthquake?","February 23","earthquake","1036","February 23, 1960"
"After 5 days of 2014 Ludian earthquake local date how many injuries were there?","3143","earthquake","1042","After 5 days of the 2014 Ludian earthquake, there were 3,143 injuries."
"How long after the 2014 Ludian earthquake did 112 report as missing?","5 days","earthquake","1042","The 112 missing people were reported 5 days after the earthquake, on August 8, 2014, at 7:00 UTC."
"112 people were missing after the 2014 Ludian earthquake as of how many days after it happened?","5","earthquake","1042","The 112 people were missing as of 8 August 7:00 UTC, which is 5 days after the earthquake occurred on 3 August 2014."
"What was the total number injured and dead some days after the Ludian earthquake?","3,760","earthquake","1042","The total number of injured and dead some days after the Ludian earthquake was 3,143 injured and 617 dead, with 112 missing."
"What province and country were 617 reported dead from an earthquake as of the 8th of August 2014?","Yunnan, China","earthquake","1042","Yunnan, China"
"How many days after the 2014 Ludian earthquake local date did 617 people die?","5 days","earthquake","1042","The answer to the question ""How many days after the 2014 Ludian earthquake local date did 617 people die?"" is 5 days.According to the information provided in the context, the 2014 Ludian earthquake occurred on August 3, 2014, and the local date was August 3, 2014. The question asks how many days after the earthquake local date did 617 people die, and the answer is 5 days, since the casualties information provided states that 617 people died as of August 8, 2014, which is 5 days after the local date of the earthquake."
"How many peoples dead, injured and homeless in 2020 Aegean Sea earthquake?","119 dead, 1,053 injured, 15,000 homeless","earthquake","1047","Sure! Here's the answer to your question based on the context you provided:119 dead, 1,053 injured, 15,000 homeless"
"In which Areas Floors hanging from a partially collapsed building?","Turkey, Greece","earthquake","1047","The areas affected by the 2020 Aegean Sea earthquake were Turkey and Greece."
"Which places are affected of 2020 Aegean Sea earthquake?","Turkey, Greece","earthquake","1047","Turkey, Greece"
"How much damaged cost of 2020 Aegean Sea earthquake?","$400 million","earthquake","1047","> $400 million"
"Why 15,000 people got homeless?","Tsunami","earthquake","1047","The earthquake caused 15,000 people to become homeless."
"When the Tsunami type is Normal then what is the Max, intensity?","VIII (Severe)","earthquake","1047","VIII (Severe)"
"Where did the tsunami hit 2020?","On 30 October 2020, a strong normal-faulting earthquake struck Samos Island in Greece and İzmir Province in Turkey, both in the eastern Aegean Sea. The earthquake generated a tsunami that hit the coasts of Samos Island, Greece and İzmir, Turkey.","earthquake","1047","The tsunami hit the East Aegean Sea in 2020."
"How much total damage of 2020 Aegean Sea earthquake ?","> $400 million","earthquake","1047","> $400 million"
"How much  2020 aegean sea earthquake duriation ?","16 seconds","earthquake","1047","The 2020 Aegean Sea earthquake had a duration of 16 seconds."
"Who was the artist toured the Better Day World Tour from 2011?","TourbyDolly Parton","concert","1054","Dolly Parton"
"How many years after the Better Day World Tour was the next tour?","3","concert","1054","The next tour after the Better Day World Tour was the Blue Smoke World Tour, which started in 2014, so the answer is 3 years."
"When was the last show on the Better Day World Tour?","December 1, 2011","concert","1054","December 1, 2011"
"When was the first day you could catch a show on the Better Day World Tour?","July 17, 2011","concert","1054","July 17, 2011"
"How many days did the Better Day tour last?","137","concert","1054","The Better Day tour lasted 49 days."
"How many days did Better Day World Tour was held from 2011?","137 days","concert","1054","The Better Day World Tour was held for 147 days, from July 17, 2011, to December 1, 2011."
"How long after the Backwoods Barbie Tour did the Blue Smoke World Tour begin?","6 years","concert","1054","3 years"
"What is the average length of time between Dolly Parton's tours?","3 years","concert","1054","Dolly Parton's tours are approximately 3 years apart."
"How many shows was showed in Europe and Australia from 2011?","29","concert","1054","Sure! Here's the answer to your question:18 shows in Europe and 11 shows in Australia."
"How much longer was Gagauzia an unrecognized breakaway state than Tatarstan?","2 years","event","1056","Gagauzia was an unrecognized breakaway state for 4 years (1990-1994), while Tatarstan was an unrecognized breakaway state for 2 years (1992-1994). Therefore, Gagauzia was an unrecognized breakaway state for 2 years longer than Tatarstan."
"How many recognized breakaway states resulted from the dissolution?","15","event","1056","The dissolution of the Soviet Union resulted in 15 recognized breakaway states:1. Armenia2. Azerbaijan3. Belarus4. Estonia5. Georgia6. Kazakhstan7. Kyrgyzstan8. Latvia9. Lithuania10. Moldova11. Russia12. Tajikistan13. Turkmenistan14. Ukraine15. UzbekistanThere were also several unrecognized breakaway states, including Artsakh, Chechnya, Gagauzia, Nakhchivan, Tatarstan, and Transnistria."
"How many countries became unrecognized breakaway states in the final year of the dissolution of the Soviet Union?","2","event","1056","Five countries became unrecognized breakaway states in the final year of the dissolution of the Soviet Union:1. Artsakh (1991-present)2. Chechnya (1991-2000)3. Gagauzia (1990-1994)4. Nakhchivan (1990-1993)5. Transnistria (1990-present)"
"Currently how many unrecognized states are still in operation?","2","event","1056","There are currently 5 unrecognized states that are still in operation:1. Artsakh (1991-present)2. Transnistria (1990-present)3. Gagauzia (1990-1994)4. Nakhchivan (1990-1993)5. Chechnya (1991-2000)Note: These unrecognized states are not officially recognized by any country or international organization, and their status is disputed."
"In total, how many major outcomes resulted from this dissolution?","16","event","1056","The dissolution of the Soviet Union resulted in the following outcomes:1. Dissolution of the Soviet Union into 15 independent states.2. Establishment of the Commonwealth of Independent States between 11 independent states.3. Separatist movements in former autonomies, some of which were successful.4. Military conflicts and ethnic clashes, leading to humanitarian crises and internally displaced people.5. Republics declared multi-party presidential or semi-presidential systems.6. Republics moved to adopt capitalist market economies.7. Ruble zone active in most new states in 1992-94, with national currencies adopted later.8. Unified Soviet Armed Forces divided in 1992-1993.9. Black Sea Fleet partitioned and negotiations for relocation between Russia and Ukraine.10. Issues with value loss of savings of former Soviet citizens.11. Issues with social and medical support for veterans of the Soviet-Afghan War.12. Relocation of Soviet Armed Forces from East Germany and Central Europe.13. End of the Cold War.14. End of CPSU rule.15. Decline of communist movements around the world.16. The United States became the world's sole superpower."
"what is the date of the Part of the Cold War and the Revolutions of 1989?","16 November","event","1056","The date of the Part of the Cold War and the Revolutions of 1989 is 16 November 1988 - 26 December 1991."
