question,answer,table_id,answer_type,is_temporal,answer_old,answer_timeunit
How much longer was Mohammad-Ali Foroughi's second term as 22nd Prime Minister of Iran than his first term?,1 year,928,TEMPORAL,Is temporal,1 year,year
How old was Mohammad-Ali Foroughi the year he took office as Minister of Justice?,36,928,AGE,Is temporal,36,year
How many years was Mohammad-Ali Foroughi a member of the Parliament of Iran?,12 years,928,TEMPORAL,Is temporal,12 years,year
How old was Mohammad-Ali Foroughi when he became a member of the Parliament of Iran?,32 years old,928,TEMPORAL,Is temporal,32 years old,year
How many years did Mohammad-Ali Foroughi serve as Prime Minister of Iran?,1 year,928,TEMPORAL,Is temporal,1 year,year
How many days did Mohammad-Ali Foroughi as Speaker of the Parliament?,4 Days,928,TEMPORAL,Is temporal,4 Days,not defined
How long after becoming Member of the Parliament of Iran did Mohammad-Ali Foroughi become Minister of Foreign Affairs?,14 years,928,TEMPORAL,Is temporal,14 years,year
How long after Dick King-Smith became a widower did he remarry?,1 year,929,TEMPORAL,Is temporal,1 year,year
How long was  Dick King-Smith married to his second wife?,10 years,929,TEMPORAL,Is temporal,10 years,year
When did  Dick King-Smith get married to his first wife?,1943,929,TEMPORAL,Is temporal,1943,not defined
How long after  Dick King-Smith's first wife died did he get married to his second wife?,1 year,929,TEMPORAL,Is temporal,one year,year
How many years ago did Dick King-Smith won Guardian Prize?,38 Years ago,929,TEMPORAL,Is temporal,38 Years ago,year
How many years had Dick King-Smith been a children's author when he married his second wife?,23,929,COUNT,Is temporal,23,year
How many years after the last election for the Vancouver City Council will the next take place?,4,935,COUNT,Is temporal,four,year
How many days ago did Vancouver City Council members elected?,1349 days ago,935,TEMPORAL,Is temporal,1349 days ago,not defined
How many days to go for next election for Vancouver City Council?,107 days after,935,TEMPORAL,Is temporal,107 days after,not defined
How many years after Becca Balint became President pro tempore of the Senate did Alison Clarkson become Senate Majority Leader?,0,936,COUNT,Is temporal,zero,year
How many years after Anthony Pollina became Senate Progressive Leader did Molly Gray become President of the Senate?,10,936,COUNT,Is temporal,10,year
How long between when Patricia McCoy became House Minority Leader and the next general election?,3 years,936,TEMPORAL,Is temporal,3 years,year
How many days before the general election of Vermont General Assembly was taken place?,"603 days before (November 3, 2020)",936,TEMPORAL,Is temporal,"603 days before (November 3, 2020)",not defined
How many years after the last Vermont General Assembly general election will the next one take place?,2,936,COUNT,Is temporal,two,year
How many years after Anthony Pollina became Senate Progressive Leader did Randy Brock become Senate Minority Leader?,10,936,COUNT,Is temporal,10,year
How much length of this movie?,It might be 62:12.,942,TEMPORAL,Is temporal,It might be 62:12.,not defined
Which year can released the movie zoe jane?,"april 5,2004",942,TEMPORAL,Is temporal,"april 5,2004",not defined
"How many months before ""Price to Play"" was  ""How About You"" released?",8 months,942,TEMPORAL,Is temporal,8 months,not defined
"How long before Chapter V was ""So Far Away"" released?",2 years,942,TEMPORAL,Is temporal,2 years,year
How many years after Break the Cycle did Chapter V come out?,4 years,942,TEMPORAL,Is temporal,4 years,year
How long did it take from the first single released until the fourth single was released on the album 14 Shades of Grey?,1 year,942,TEMPORAL,Is temporal,one year,year
How many years was it until the next album after 14 Shades of Grey was released?,2,942,COUNT,Is temporal,two,year
What was the release date for the singe Homicide off of the Confessions of a Dangerous Mind album?,"May 3, 2019",948,TEMPORAL,Is temporal,"May 3, 2019",not defined
What year did Confessions of a Dangerous Mind release?,2019,948,TEMPORAL,Is temporal,2019,year
How many months was the release of the first single from Confessions of a Dangerous Mind released was the album himself released?,4,948,COUNT,Is temporal,4,not defined
How many years after was the next related event compared to the Men's 4 × 200 metre freestyle relay at the Games of the XXXI Olympiad?,4,963,COUNT,Is temporal,4,year
How many months had already passed completely in the year before the Men's 4 × 200 metre freestyle relay at the Games of the XXXI Olympiad occurred?,7,963,COUNT,Is temporal,7,not defined
How many years before was the previous related event compared to the Men's 4 × 200 metre freestyle relay at the Games of the XXXI Olympiad?,4,963,COUNT,Is temporal,4,year
The general election results that the 2021 Myanmar protests want to recognise happened how many years prior?,1,964,COUNT,Is temporal,1,not defined
How many years after Myanmar coup d'état  was the date to which elections were deferred?,2,964,COUNT,Is temporal,2,year
How long after the start of the protests did the death count total 47 police officers and 7 soldiers?,3 months,964,TEMPORAL,Is temporal,3 months,not defined
How old was the Constitution when the 2021 Myanmar Spring Revolution took place?,13 years,964,TEMPORAL,Is temporal,13 years,year
How long is it possible for the earliest detainees of the Myanmar Spring Revolution to have been detained as of today?,16 months,964,TEMPORAL,Is temporal,16 months,not defined
How many years prior to the protests was the constitution that they sought to abolish drafted?,13,964,COUNT,Is temporal,13,year
"How many months after the start of the 2021 Myanmar protests did the total death toll reach 2,091?",3,964,COUNT,Is temporal,3,not defined
What number of years old was the constitution at the time that the 2021 Myanmar protests aim to abolish?,13,964,COUNT,Is temporal,13,not defined
How many months after the war started was the Croatian Army formed?,2,966,COUNT,Is temporal,two,not defined
How many years did Libya supported to Ethiopian Civil War?,8 Years,979,TEMPORAL,Is temporal,8 Years,year
How many days did Ethiopian Civil War Wars last?,6102 days,979,TEMPORAL,Is temporal,6102 days,not defined
During what year did Russia's support end and Israel's support begin?,1990,979,TEMPORAL,Is temporal,1990,year
How many years after the beginning of the war did PDR Ethiopia become a belligerent?,13,979,COUNT,Is temporal,13,year
How many more years did Libya support the EPRDF than it supported the other side in the Ethiopian Civil War?,2,979,COUNT,Is temporal,two,not defined
How many years were between when the first cease fire was established and when a wider conflict erupted?,5,990,COUNT,Is temporal,5,year
How many more years was Mostafa Pourmohammadi a leader than Ali Shamkhani?,2,990,COUNT,Is temporal,2,not defined
How long after the start of the Iran–PJAK conflict was the United States allegedly a supporter of Iran?,5 years,990,TEMPORAL,Is temporal,5 years,year
How many years did Mohd. Ibrahim Moustafa as leader of Egyptian Army?,2 Years (2013-2015),1006,TEMPORAL,Is temporal,2 Years (2013-2015),not defined
How many years ago did Terrorism in Egypt started?,9 Years ago (2013),1006,TEMPORAL,Is temporal,9 Years ago (2013),not defined
How many years longer was Sedki a leader or commander than Mohd. Ibrahim Moustafa?,2,1006,COUNT,Is temporal,2,year
How long after the terrorism in Egypt began did Wilayat Sinai become a belligerent?,1 year,1006,TEMPORAL,Is temporal,1 year,year
How much longer was Italy and Axis belligerent than Hungary?,2 years,1012,TEMPORAL,Is temporal,2 years,year
How long after Walter von Brauchitsch became a leader was Franklin D. Roosevelt one as well?,5 years,1012,TEMPORAL,Is temporal,5 years,year
How many years ago did Western Sahara War was ended?,31 Years ago,1014,TEMPORAL,Is temporal,31 Years ago,year
How many years did Mauritania participated in Western Sahara War from 1975?,4 Years,1014,TEMPORAL,Is temporal,4 Years,year
How many years after the beginning of the war was the Mauritanian retreat and withdrawal?,4,1014,COUNT,Is temporal,4,year
How much longer was Mauritania a belligerent than France.,3 years,1014,TEMPORAL,Is temporal,3 years,year
How long after the start of the Gaza–Israel conflict did Sudan stop being a belligerent?,9 years,1018,TEMPORAL,Is temporal,9 years,year
How many years longer was Ashkenazi a leader in the conflict than Ehud Olmert?,2,1018,COUNT,Is temporal,2,year
How many years did Argentina supported the Salvadoran Civil War?,4 Years (upto 1983),1022,TEMPORAL,Is temporal,4 Years (upto 1983),not defined
How many years ago did Salvadoran Civil War ended?,30 years ago,1022,TEMPORAL,Is temporal,30 years ago,year
How many years into the war was picture of Ronald Reagan  and José Napoleón Duarte taken?,6,1022,COUNT,Is temporal,6,year
How long had the Salvadoran Civil War gone on when North Korea quit?,11 years,1022,TEMPORAL,Is temporal,11 years,year
How many years were between the time China first appeared in the Summer Olympic and first appeared in the Winter Olympics?,28,1024,COUNT,Is temporal,28,year
What was the last year that China appeared at both the Summer and Winter Olympics in the same year?,1992,1024,TEMPORAL,Is temporal,1992,not defined
When did China first have a year at the Winter Olympics but not at the Summer Olympics?,1994,1024,TEMPORAL,Is temporal,1994,not defined
From which year does Hungary  participated in Winter Olympics?,1924,1026,TEMPORAL,Is temporal,1924,not defined
How many years does Hungary participated in Summer Olympics appearances?,29 Years,1026,TEMPORAL,Is temporal,29 Years,year
What year gap does Hungary have in its latest summer and winter appearance?,2 years,1026,TEMPORAL,Is temporal,2 years,year
How many years after its first summer appearance did Hungary make its first winter appearance?,28 years,1026,TEMPORAL,Is temporal,28 years,year
How many years after its summer appearance did Hungary make its Intercalated Games appearance?,2 years,1026,TEMPORAL,Is temporal,2 years,year
How many months did the 12th Annual Honda Civic Tour run?,2 months,1034,TEMPORAL,Is temporal,2 months,not defined
when 12th Annual Honda Civic Tour was start?,"August 1, 2013",1034,TEMPORAL,Is temporal,"August 1, 2013",not defined
When 12th Annual Honda Civic Tour was end?,"October 6, 2013",1034,TEMPORAL,Is temporal,"October 6, 2013",not defined
How many years ago did 12th Annual Honda Civic Tour was started?,9 Years ago,1034,TEMPORAL,Is temporal,9 Years ago,year
How many years after the 12th Annual Honda Civic Tour did Kelly Clarkson preform for the Piece by Piece Tour?,2 years,1034,TEMPORAL,Is temporal,2 years,year
"How many days did 12th Annual Honda Civic Tour was held from August 1, 2013?",66 days,1034,TEMPORAL,Is temporal,66 days,not defined
Which year did Honda Civic was tour named held 11th Annual Honda Civic Tour?,2012,1034,TEMPORAL,Is temporal,2012,not defined
How many years was Rolling Stone on Tour between 2012 and 2016?,4,1035,COUNT,Is temporal,4,year
How many months did 14 On Fire last?,9,1035,COUNT,Is temporal,9,not defined
How many years after 14 On Fire was the next tour?,1,1035,COUNT,Is temporal,1,year
How many days did 14 On Fire was showed in 2014?,274 days,1035,TEMPORAL,Is temporal,274 days,not defined
How many years before the 14 On Fire concert tour began did the 50 & Counting concert tour end?,1,1035,COUNT,Is temporal,1,year
How many full months did the 14 On Fire concert tour cover?,8,1035,COUNT,Is temporal,8,not defined
How many days before the 1960 Agadir earthquake were the first foreshocks?,6,1036,COUNT,Is temporal,6,not defined
How much longer was the time between the aftershocks than the foreshocks?,20 days,1036,TEMPORAL,Is temporal,20 days,not defined
How many months did people experience the effects of the 1960 Agadir earthquake?,3,1036,COUNT,Is temporal,3,not defined
How many months after the first foreshock was the last aftershock?,2,1036,COUNT,Is temporal,2,not defined
When was the first foreshock of the 1960 Agadir earthquake?,February 23,1036,TEMPORAL,Is temporal,February 23,not defined
How long after the 2014 Ludian earthquake did 112 report as missing?,5 days,1042,TEMPORAL,Is temporal,5 days,not defined
112 people were missing after the 2014 Ludian earthquake as of how many days after it happened?,5,1042,COUNT,Is temporal,5,not defined
How many days after the 2014 Ludian earthquake local date did 617 people die?,5 days,1042,TEMPORAL,Is temporal,5 days,not defined
How much  2020 aegean sea earthquake duriation ?,16 seconds,1047,UNKNOWN,Is temporal,16 seconds,not defined
How many years after the Better Day World Tour was the next tour?,3,1054,COUNT,Is temporal,3,year
When was the last show on the Better Day World Tour?,"December 1, 2011",1054,TEMPORAL,Is temporal,"December 1, 2011",not defined
When was the first day you could catch a show on the Better Day World Tour?,"July 17, 2011",1054,TEMPORAL,Is temporal,"July 17, 2011",not defined
How many days did the Better Day tour last?,137,1054,COUNT,Is temporal,137,not defined
How many days did Better Day World Tour was held from 2011?,137 days,1054,TEMPORAL,Is temporal,137 days,not defined
How long after the Backwoods Barbie Tour did the Blue Smoke World Tour begin?,6 years,1054,TEMPORAL,Is temporal,6 years,year
What is the average length of time between Dolly Parton's tours?,3 years,1054,TEMPORAL,Is temporal,3 years,year
How much longer was Gagauzia an unrecognized breakaway state than Tatarstan?,2 years,1056,TEMPORAL,Is temporal,2 years,year
what is the date of the Part of the Cold War and the Revolutions of 1989?,16 November,1056,UNKNOWN,Is temporal,16 November,not defined
How long after the beginning of the dissolution of the Soviet Union did Chechnya become an unrecognized breakaway state?,3 years,1056,TEMPORAL,Is temporal,3 years,year
What is the total number of years that the Space Shuttle program lasted?,39,1062,COUNT,Is temporal,39,not defined
How long did the Space Shuttle program run?,39 years,1062,TEMPORAL,Is temporal,39 years,year
How many years after the Space Shuttle program began did it have its first flight?,5,1062,COUNT,Is temporal,5,year
What was the last date that the Space Shuttle program made its flight?,"July 21, 2011",1062,TEMPORAL,Is temporal,"July 21, 2011",not defined
What year did the Space Shuttle program make its first flight?,1977,1062,TEMPORAL,Is temporal,1977,year
At what age does Joe Biden join the democratic political party?,27,1062,AGE,Is temporal,27,year
The Space Shuttle's first crewed flight occurred how many years after its first flight?,4,1062,COUNT,Is temporal,4,not defined
What year was the single 2 of Amerikaz Most Wanted released?,1996,1066,TEMPORAL,Is temporal,1996,year
"How many days did it take to record ""2 of Amerikaz Most Wanted""?",1,1066,COUNT,Is temporal,1,not defined
"When could people finally buy ""2 of Amerikaz Most Wanted""?","May 7, 1996",1066,TEMPORAL,Is temporal,"May 7, 1996",not defined
"How many months after ""2 of Amerikaz Most Wanted"" was recorded was it released?",7,1066,COUNT,Is temporal,7,not defined
How long did it take to record 21st Century Breakdown?,1 year,1070,TEMPORAL,Is temporal,1 year,year
"How long after ""21st Century Breakdown"" began recording was it released?",1 year.,1070,TEMPORAL,Is temporal,1 year.,year
"How many years after the start of the recording of ""21st Century Breakdown"" was ""Last of the American Girls"" released?",2,1070,COUNT,Is temporal,2,year
"In what year was ""21st Century Breakdown"" first recorded?",2008,1070,TEMPORAL,Is temporal,2008,year
What year was the single 21st Century Breakdown released?,2009,1070,TEMPORAL,Is temporal,2009,year
"How long after ""21st Century Breakdown"" was the next single released?",1 year,1070,TEMPORAL,Is temporal,1 year,year
Over how many years did it take to record 21st Century Breakdown?,2,1070,COUNT,Is temporal,2,not defined
What year was 21st Century Breakdown released?,2009,1070,TEMPORAL,Is temporal,2009,year
How many years did it take to record 21st Century Breakdown?,1 year,1070,TEMPORAL,Is temporal,1 year,year
What year was 3 a.m. Eternal originally released?,1989,1071,TEMPORAL,Is temporal,1989,year
"How many years passed between the first and last release of ""3 a.m. Eternal""?",3,1071,COUNT,Is temporal,3,year
What year did 3 a.m. Eternal become released on a live version?,1991,1071,TEMPORAL,Is temporal,1991,year
"How many years after ""3 a.m. Eternal"" was released on Pure Trance 2 was it released in the KLF vs ENT version?",3,1071,COUNT,Is temporal,3,year
"When was the first time that ""3 a.m. Eternal"" was released?",May 1989,1071,TEMPORAL,Is temporal,May 1989,not defined
How many years before Money Don't Matter 2 Night was Diamonds and Pearls released?,1,1075,COUNT,Is temporal,1,year
What is the edited  length of the album?,4:12 min,1075,TEMPORAL,Is temporal,4:12 min,not defined
Which year released in Money Don't Matter 2 Night?,1992,1075,TEMPORAL,Is temporal,1992,not defined
What year did the movie 8 mile release?,2002,1077,TEMPORAL,Is temporal,2002,year
How many years ago was this movie released?,20 years,1077,TEMPORAL,Is temporal,20 years,year
What is the running time for the film 8 Mile?,110 minutes,1077,TEMPORAL,Is temporal,110 minutes,not defined
What year was 8 Mile released?,2002,1077,TEMPORAL,Is temporal,2002,year
How long was the 49th Parallel?,123 minutes,1078,TEMPORAL,Is temporal,123 minutes,not defined
"How many days did the movie ""49th Parallel"" premiere in USA (New York) after London premiere on 8 October 1941?",148 days,1078,TEMPORAL,Is temporal,148 days,not defined
When was the the 49th Parallel released in the US?,"April 15, 1942",1078,TEMPORAL,Is temporal,"April 15, 1942",not defined
How many months after the UK nationwide release was the US nationwide release?,5,1078,COUNT,Is temporal,5,not defined
How many months after the New York City premiere was 49th Parallel released to the rest of the country?,1,1078,COUNT,Is temporal,1,not defined
What is the running time of movie 49th Parallel?,123 minutes,1078,TEMPORAL,Is temporal,123 minutes,not defined
How many years was Access Hollywood known as Access?,2 years,1085,TEMPORAL,Is temporal,2 years,year
How many years was Robert K. Silverstein the producer for Access Hollywood?,10,1085,COUNT,Is temporal,10,year
What year did Access Hollywood debue?,2017,1085,TEMPORAL,Is temporal,2017,year
What year did Access Hollywood premier?,1996,1085,TEMPORAL,Is temporal,1996,year
What year did Access Hollywood switch to HDTV,2010,1085,TEMPORAL,Is temporal,2010,year
"For how many years was Access Hollywood known simply as ""Access""?",2,1085,COUNT,Is temporal,2,year
How long was Robert K. Silverstein a producer for Access Hollywood?,10,1085,UNKNOWN,Is temporal,10,not defined
What year was Wil Calhoun an executive producer of Friends?,2001,1088,TEMPORAL,Is temporal,2001,year
Which year is opened of Delaware Extension?,1862,1094,TEMPORAL,Is temporal,1862,not defined
When Delaware Extension was opened?,"1862 (Pennsylvania Railroad), 1968 (Penn Central), 1976 (Conrail)",1094,TEMPORAL,Is temporal,"1862 (Pennsylvania Railroad), 1968 (Penn Central), 1976 (Conrail)",not defined
Which year is closed of Delaware Extension?,1968,1094,TEMPORAL,Is temporal,1968,not defined
When Delaware Extension was closed?,"1968 (Pennsylvania Railroad), 1976 (Penn Central), unknown (Conrail, became part of Harrisburg Line)",1094,TEMPORAL,Is temporal,"1968 (Pennsylvania Railroad), 1976 (Penn Central), unknown (Conrail, became part of Harrisburg Line)",not defined
How many years were between the end of the run of the Billie Mae Richards TV specials and the film in which Blitzen was Rudolph's father?,12,1095,COUNT,Is temporal,12,year
What year was Arrow seen as part of Rudolph the Red-Nosed Reindeer's family?,1998,1095,TEMPORAL,Is temporal,1998,year
How many years did Rudolph the Red-Nosed Reindeer run as a television special voiced by Billie Mae Richards ?,46 years,1095,TEMPORAL,Is temporal,46 years,year
What year did Rudolph the Red-Nosed Reindeer debut as a television special?,1964,1095,TEMPORAL,Is temporal,1964,year
When was the last television special with Rudolph the Red Nosed Reindeer?,2010,1095,TEMPORAL,Is temporal,2010,year
When did Rudolph the Red Nosed Reindeer first appear on television?,1964,1095,TEMPORAL,Is temporal,1964,not defined
How many years after the first appearance of Rudolph the Red-Nosed Reindeer was Rusty introduced as his cousin?,59,1095,COUNT,Is temporal,59,year
How many years were between when Charlton Heston portrayed the character and when he voiced the character?,44,1101,COUNT,Is temporal,44,year
What was the last year that Judah Ben-Hur was portrayed?,2016,1101,TEMPORAL,Is temporal,2016,not defined
When was the first time that Judah Ben-Hur appeared on the screen?,1925,1101,TEMPORAL,Is temporal,1925,year
How long after the novel A Tale of the Christ was published did Ramon Novarro portray Ben-Hur?,45 years,1101,TEMPORAL,Is temporal,45 years,year
How many years were between when Carl Stockdale and Julian Rhind-Tutt  played Monks,85 years,1104,TEMPORAL,Is temporal,85 years,year
What was the last year the Monks was portrayed on a television miniseries?,2007,1104,TEMPORAL,Is temporal,2007,not defined
What year was Monks portrayed by Carl Stockdale?,1922,1104,TEMPORAL,Is temporal,1922,year
When was the first release of Monks?,1922,1104,TEMPORAL,Is temporal,1922,year
When was Monks last released in film form?,1982,1104,TEMPORAL,Is temporal,1982,not defined
When did the Indian Navy commission INS Vikramaditya?,INS Vikramaditya was commissioned by the Indian Navy on 16 November 2013,1109,TEMPORAL,Is temporal,INS Vikramaditya was commissioned by the Indian Navy on 16 November 2013,not defined
When did the Russians sell INS Vikramaditya to the Indian Navy?,INS Vikramaditya was sold to the Indian Navy on 20 January 2004,1109,TEMPORAL,Is temporal,INS Vikramaditya was sold to the Indian Navy on 20 January 2004,not defined
When was INS INS Vikramaditya launched?,INS Vikramaditya was launched on 4 December 2008,1109,TEMPORAL,Is temporal,INS Vikramaditya was launched on 4 December 2008,not defined
When was the INSVikramaditya commissioned?,16 November 2013,1109,TEMPORAL,Is temporal,16 November 2013,not defined
How manys years did the INSVikramaditya Commissioned after Launched in Soviet Union Russia?,5 Years,1109,TEMPORAL,Is temporal,5 Years,year
How many years ago the INSVikramaditya decommissioned in Soviet Union Russia?,26 years ago,1109,TEMPORAL,Is temporal,26 years ago,year
How many years was it from the time INSTrishulentering Jubail was ordered til the time it was launched?,3,1113,COUNT,Is temporal,3,year
How long after launch was INSTrishulentering Jubail officially commissioned?,1 year and 7 months.,1113,TEMPORAL,Is temporal,1 year and 7 months.,not defined
How long after INSTrishulentering Jubail was ordered was it officially commissioned?,5 years 7 months,1113,TEMPORAL,Is temporal,5 years 7 months,not defined
How much time passed between the time the INSTrishul was ordered and it laid down?,2 years,1113,TEMPORAL,Is temporal,2 years,year
How long after the launch of the INSTrishul was it commissioned?,3 years,1113,TEMPORAL,Is temporal,3 years,year
How many days did INSTrishul Launched after Laid down?,427 days,1113,TEMPORAL,Is temporal,427 days,not defined
How many years after the INSTrishul was ordered was its launch?,3,1113,COUNT,Is temporal,3,year
How long after production stopped on the Firefly was it officially retired?,1,1128,UNKNOWN,Is temporal,1,not defined
How many years did FAA Fairey Firefly was produced?,14 Years,1128,TEMPORAL,Is temporal,14 Years,year
How many years ago FAA Fairey Firefly was retired from Royal Navy?,66 Years ago,1128,TEMPORAL,Is temporal,66 Years ago,year
When was the Firefly's first flight?,22 December 1941,1128,TEMPORAL,Is temporal,22 December 1941,not defined
For how long was the Firefly in service?,15 years,1128,TEMPORAL,Is temporal,15 years,year
How long has it been since the Firefly retired?,66 years,1128,TEMPORAL,Is temporal,66 years,year
How long after the First Flight was the Firefly retired?,15,1128,UNKNOWN,Is temporal,15,not defined
How long after the Firefly was introduced did production stop?,12,1128,UNKNOWN,Is temporal,12,not defined
How many years passed between the PBY Catalina's first flight and its retirement by the United States Navy Reserve?,Nearly 22,1130,COUNT,Is temporal,Nearly 22,not defined
The PBY Catalina was in production for how many years?,9,1130,COUNT,Is temporal,9,not defined
How many years was the PBY Catalina manufactured?,9,1130,COUNT,Is temporal,nine,year
For how long was the PBY Catalinain commission by the US Navy?,21 years,1130,TEMPORAL,Is temporal,21 years,year
How many years did X-15 was used for NASA and US Air Force?,9 Years (1959-1968),1132,TEMPORAL,Is temporal,9 Years (1959-1968),not defined
How many years did X-15 was retired?,54 years ago,1132,TEMPORAL,Is temporal,54 years ago,year
How many days did X-15 was introduced after first flight in 8 June 1959?,101 days after,1132,TEMPORAL,Is temporal,101 days after,not defined
How many years separate the X-15's first flight and retiring?,9 years,1132,TEMPORAL,Is temporal,9 years,year
How many months separated the introduction of the X-15 and it's first flight?,3,1132,COUNT,Is temporal,3,not defined
How many months after the first flight was was the introduction of the X-15?,3,1132,COUNT,Is temporal,3,not defined
How many years are between the first flight of the X-15 and when it was retired?,9,1132,COUNT,Is temporal,9,year
What year did the X-15 take its first flight?,1959,1132,TEMPORAL,Is temporal,1959,year
How many years did Coordination Center for Ethnic Germans was worked from 1937?,8 Years,1139,TEMPORAL,Is temporal,Eight Years,year
How many years was Reichsführer-SSHeinrich Himmler the responsible minister for the Coordination Center for Ethnic Germans?,6 years,1139,TEMPORAL,Is temporal,6 years,year
How many years did the Coordination Center for Ethnic Germans remain in existance?,8 years,1139,TEMPORAL,Is temporal,8 years,year
Which year formed in Coordination Center for Ethnic Germans?,1937,1139,TEMPORAL,Is temporal,1937,not defined
How many years ago did Coordination Center for Ethnic Germans was founded?,85 Years ago,1139,TEMPORAL,Is temporal,85 Years ago,year
How many years separated the formation of the V/Line Corporation as a State Transport Authority and it becoming a statutory authority?,20 years,1141,TEMPORAL,Is temporal,20 years,year
What year was the V/Line Corporation formed as State Transport Authority?,1983,1141,TEMPORAL,Is temporal,1983,year
How many years ago did V/Line Corporation was formed?,39 Years ago (1983),1141,TEMPORAL,Is temporal,39 Years ago (1983),not defined
How many years completed that V/Line Corporation formed as statutory corporation?,19 Years completed,1141,TEMPORAL,Is temporal,19 Years completed,year
How long has V/Line been a corporation?,19 years,1141,TEMPORAL,Is temporal,19 years,year
How long was V/Line an Authority brand?,20 years,1141,TEMPORAL,Is temporal,20 years,year
when was formed Victorian Regional Channels Authority?,"April 1, 2004",1143,TEMPORAL,Is temporal,"April 1, 2004",not defined
What was the Victorian Regional Channels Authority's age when the Transport Integration Act 2010 was implemented?,6 years old,1143,TEMPORAL,Is temporal,6 years old,year
Which year Founded of Victorian Regional Channels Authority?,1 April 2004,1143,TEMPORAL,Is temporal,1 April 2004,not defined
When was the most recent of Catan published?,2015,1147,TEMPORAL,Is temporal,2015,year
How many years ago did CATAN 3rd edition released?,25 Years ago,1147,TEMPORAL,Is temporal,25 Years ago,year
How many years did 5th edition released after first edition of CATAN released  in 1995?,20 Years after first edition,1147,TEMPORAL,Is temporal,20 Years after first edition,not defined
How many years longer was time between the fourth and fifth edition than between the 1st and 2nd edition?,7,1147,COUNT,Is temporal,7,year
How long was the time between the first edition and the fourth edition?,12 years,1147,TEMPORAL,Is temporal,12 years,year
When was the first edition of Catan published?,1995,1147,TEMPORAL,Is temporal,1995,year
How many years passed between the first issue and the revised issues of Heroes Unlimited?,3,1151,COUNT,Is temporal,3,year
How many years ago did Heroes Unlimited was 1st edition published?,38 Years ago,1151,TEMPORAL,Is temporal,38 Years ago,year
How many years after Heroes Unlimited 2nd edition released?,14 years after,1151,TEMPORAL,Is temporal,14 years after,year
How long after Heroes Unlimited began was the last edition printed?,14 years,1151,TEMPORAL,Is temporal,14 years,year
When could you first read Heroes Unlimited?,August 1984,1151,TEMPORAL,Is temporal,August 1984,not defined
In what year was the most recent of Heroes Unlimited published?,1998,1151,TEMPORAL,Is temporal,1998,year
What year did Argentina become World Cup champions for the first time?,1978,1160,TEMPORAL,Is temporal,1978,year
What year did Argentina make its first World Cup appearance?,1930,1160,TEMPORAL,Is temporal,1930,year
What year did Argentina gain its highest ranking?,2007,1160,TEMPORAL,Is temporal,2007,year
How long after Argentina's biggest win did it make its first appearance at the Panamerican Championship?,14 years,1160,TEMPORAL,Is temporal,14 years,year
How long was Argentina's Men's football team longest reign at number one ranking?,12 months,1160,TEMPORAL,Is temporal,12 months,not defined
How many years are between Argentina's first international match and their biggest defeat against Czechoslovakia?,56,1160,COUNT,Is temporal,56,year
How many years after their first appearance in the World Cup did Argentina win a championship?,48,1160,COUNT,Is temporal,48,year
When was the first edition of Arkham Horror: The Card Game released?,2016,1161,TEMPORAL,Is temporal,2016,year
When was the first time that you could play Arkham Horror: The Card Game?,2016,1161,TEMPORAL,Is temporal,2016,year
How long ago was the first edition of Arkham Horror: The Card Game released?,6 years,1161,TEMPORAL,Is temporal,6 years,year
What is the expected playing time range difference?,An hour,1161,TEMPORAL,Is temporal,An hour,not defined
How many quarterly years has Arkham Horror been active?,21,1161,COUNT,Is temporal,21,not defined
How many years ago did Arkham Horror: The Card Game was published?,6 years ago (2016),1161,TEMPORAL,Is temporal,6 years ago (2016),not defined
What was the maximum setup time required for Arkham Horror: The Card Game?,15 Minutes,1161,TEMPORAL,Is temporal,15 Minutes,not defined
How many years was Atlantis in publication?,35 years,1163,TEMPORAL,Is temporal,35 years,year
What year did Atlantis become published?,1984,1163,TEMPORAL,Is temporal,1984,year
When was the most recent edition of Atlantis released?,2019,1163,TEMPORAL,Is temporal,2019,year
How many years passed between the first and second editions of Atlantis?,1,1163,COUNT,Is temporal,1,year
How many years were between the 1st edition of Atlantis and the 30th anniversary edition?,35,1163,COUNT,Is temporal,35,year
How much longer was the time between the Second Age and 30th Anniversary Edition  than between  the 1st and 2nd edition?,4 years,1163,TEMPORAL,Is temporal,4 years,year
When was the first edition of Atlantis released?,1984,1163,TEMPORAL,Is temporal,1984,year
How many years are between Australia's first ODI and its last T20I?,51,1164,COUNT,Is temporal,51,year
"How long after Australia Cricket's first best test ranking, when did they achieve their best ODI ranking?",38 years,1164,TEMPORAL,Is temporal,38 years,year
How many years ago was Australia's first test ever in Cricket?,145 years ago,1164,TEMPORAL,Is temporal,145 years ago,year
What was the longest span Australia went between championships in Cricket ODI?,12 years,1164,TEMPORAL,Is temporal,12 years,year
How many days ago did Australia played their last ODI?,28 days ago,1164,TEMPORAL,Is temporal,28 days ago,not defined
How many years ago did Australia won T20I World Cup?,1 Year ago (2021),1164,TEMPORAL,Is temporal,1 Year ago (2021),not defined
How many years after Australia acquired its test status did it become a full member of the ICC?,32 years,1164,TEMPORAL,Is temporal,32 years,year
How many years are between Australia's first international and their first AFC U-23 Asian Cup appearance?,46,1166,COUNT,Is temporal,46,year
How many years after first appearing at the AFC U-23 Asian Cup did Australia have their best result?,7,1166,COUNT,Is temporal,seven,year
